,T (degC)
3089,-0.09
3095,2.0
3101,2.5
3107,2.63
3113,3.05
3119,2.42
3125,1.1
3131,0.24
3137,-0.88
3143,-0.97
3149,-1.11
3155,-1.38
3161,-0.84
3167,-0.75
3173,-1.23
3179,-1.32
3185,-1.5
3191,-1.36
3197,-1.23
3203,-1.42
3209,-1.37
3215,-1.51
3221,-0.24
3227,0.09
3233,1.72
3239,3.02
3245,1.48
3251,0.52
3257,1.55
3263,2.0
3269,3.64
3275,4.79
3281,5.4
3287,5.1
3293,5.68
3299,5.34
3305,4.71
3311,3.93
3317,1.73
3323,1.24
3329,2.03
3335,2.44
3341,2.38
3347,2.24
3353,2.17
3359,2.07
3365,1.91
3371,3.15
3377,3.84
3383,3.82
3389,4.71
3395,5.3
3401,4.09
3407,3.8
3413,3.03
3419,3.19
3425,2.88
3431,2.35
3437,0.84
3443,0.54
3449,0.59
3455,0.29
3461,0.41
3467,0.37
3473,0.5
3479,0.52
3485,0.03
3491,-0.59
3497,-0.48
3503,-0.77
3509,-0.26
3515,0.14
3521,1.49
3527,3.19
3533,5.06
3539,4.97
3545,5.28
3551,5.62
3557,3.37
3563,1.72
3569,0.27
3575,-0.86
3581,-1.76
3587,-2.3
3593,-2.79
3599,-3.28
3605,-3.31
3611,-3.69
3617,-4.29
3623,-4.21
3629,-4.73
3635,-5.13
3641,-5.58
3647,-5.77
3653,-5.58
3659,-4.95
3665,-3.99
3671,-3.08
3677,-2.57
3683,-2.5
3689,-2.56
3695,-2.6
3701,-2.43
3707,-2.18
3713,-1.88
3719,-1.59
3725,-1.5
3731,-1.3
3737,-1.1
3743,-1.14
3749,-1.17
3755,-1.27
3761,-1.2
3767,-1.17
3773,-1.14
3779,-1.09
3785,-1.1
3791,-1.1
3797,-1.16
3803,-1.16
3809,-1.23
3815,-1.29
3821,-1.37
3827,-1.3
3833,-1.36
3839,-1.43
3845,-1.45
3851,-1.5
3857,-1.63
3863,-1.7
3869,-1.75
3875,-1.7
3881,-1.63
3887,-1.68
3893,-1.63
3899,-1.69
3905,-1.69
3911,-1.93
3917,-2.44
3923,-2.7
3929,-2.83
3935,-2.77
3941,-2.84
3947,-2.96
3953,-2.91
3959,-2.64
3965,-2.43
3971,-2.36
3977,-2.41
3983,-2.45
3989,-2.43
3995,-2.48
4001,-2.43
4007,-2.61
4013,-2.94
4019,-3.1
4025,-2.9
4031,-2.74
4037,-2.63
4043,-2.61
4049,-2.41
4055,-2.73
4061,-2.96
4067,-3.14
4073,-3.36
4079,-3.23
4085,-3.07
4091,-2.63
4097,-2.36
4103,-1.9
4109,-1.93
4115,-1.9
4121,-1.86
4127,-1.74
4133,-1.96
4139,-1.96
4145,-1.91
4151,-1.94
4157,-2.1
4163,-2.16
4169,-1.99
4175,-1.96
4181,-1.96
4187,-1.96
4193,-2.1
4199,-2.19
4205,-2.3
4211,-2.55
4217,-2.58
4223,-2.72
4229,-3.03
4235,-2.97
4241,-2.9
4247,-2.79
4253,-2.58
4259,-2.34
4265,-2.45
4271,-2.36
4277,-2.2
4283,-2.03
4289,-1.9
4295,-2.17
4301,-2.5
4307,-2.5
4313,-2.48
4319,-2.48
4325,-2.43
4331,-2.47
4337,-2.43
4343,-2.34
4349,-2.29
4355,-2.23
4361,-2.24
4367,-2.05
4373,-1.91
4379,-1.76
4385,-1.54
4391,-1.47
4397,-1.1
4403,-0.87
4409,-1.19
4415,-1.59
4421,-1.63
4427,-1.83
4433,-2.09
4439,-2.35
4445,-2.49
4451,-2.43
4457,-2.73
4463,-2.97
4469,-3.2
4475,-3.43
4481,-3.53
4487,-3.68
4493,-3.95
4499,-4.19
4505,-4.41
4511,-4.15
4517,-4.37
4523,-3.8
4529,-3.5
4535,-3.09
4541,-2.97
4547,-2.75
4553,-2.82
4559,-2.73
4565,-3.06
4571,-3.27
4577,-3.36
4583,-3.29
4589,-2.9
4595,-2.75
4601,-2.58
4607,-2.54
4613,-2.28
4619,-2.36
4625,-2.51
4631,-2.85
4637,-3.3
4643,-3.79
4649,-4.48
4655,-5.01
4661,-3.8
4667,-1.66
4673,-0.64
4679,0.43
4685,2.27
4691,2.98
4697,3.71
4703,2.87
4709,2.2
4715,1.48
4721,1.03
4727,0.38
4733,0.21
4739,-0.17
4745,-0.6
4751,-0.9
4757,-1.79
4763,-2.07
4769,-2.48
4775,-2.73
4781,-2.85
4787,-2.8
4793,-2.98
4799,-3.28
4805,-2.02
4811,-0.97
4817,0.41
4823,1.19
4829,3.07
4835,3.96
4841,7.64
4847,5.57
4853,4.46
4859,2.65
4865,1.49
4871,0.04
4877,-0.73
4883,-1.67
4889,-2.13
4895,-2.64
4901,-2.99
4907,-3.41
4913,-3.83
4919,-4.17
4925,-4.4
4931,-4.72
4937,-4.79
4943,-4.83
4949,-4.8
4955,-3.14
4961,-1.39
4967,0.35
4973,4.31
4979,4.32
4985,4.43
4991,3.67
4997,1.93
5003,1.08
5009,0.22
5015,0.07
5021,-0.38
5027,-0.28
5033,-0.04
5039,0.78
5045,0.17
5051,-0.3
5057,0.08
5063,-0.36
5069,-1.04
5075,-1.1
5081,-1.46
5087,-1.23
5093,0.52
5099,0.74
5105,2.1
5111,4.01
5117,5.38
5123,6.3
5129,6.34
5135,5.35
5141,4.38
5147,4.77
5153,4.14
5159,2.92
5165,1.77
5171,0.58
5177,0.3
5183,0.78
5189,0.53
5195,-0.61
5201,-1.13
5207,-0.79
5213,-0.42
5219,-0.44
5225,-0.1
5231,0.04
5237,0.35
5243,1.63
5249,1.65
5255,2.79
5261,6.3
5267,8.96
5273,8.55
5279,7.62
5285,6.94
5291,5.62
5297,4.77
5303,3.8
5309,2.1
5315,1.79
5321,1.08
5327,0.82
5333,-0.08
5339,0.03
5345,-0.91
5351,-1.36
5357,-2.0
5363,-2.26
5369,-1.89
5375,-1.87
5381,-1.36
5387,-0.74
5393,1.11
5399,2.63
5405,5.15
5411,5.82
5417,4.93
5423,3.89
5429,3.53
5435,3.46
5441,3.07
5447,3.13
5453,3.11
5459,2.64
5465,2.46
5471,2.21
5477,1.97
5483,1.9
5489,1.63
5495,1.36
5501,1.19
5507,0.92
5513,0.36
5519,0.1
5525,0.44
5531,0.96
5537,1.67
5543,2.17
5549,1.97
5555,2.07
5561,2.65
5567,3.03
5573,1.59
5579,0.97
5585,0.8
5591,0.21
5597,-0.58
5603,-0.81
5609,-1.34
5615,-2.34
5621,-2.82
5627,-2.98
5633,-2.61
5639,-2.7
5645,-2.41
5651,-2.19
5657,-0.86
5663,-0.82
5669,-0.04
5675,0.5
5681,1.49
5687,2.19
5693,2.3
5699,2.06
5705,3.01
5711,1.97
5717,1.86
5723,0.87
5729,0.14
5735,-0.34
5741,-0.57
5747,-0.44
5753,-0.38
5759,-0.13
5765,-0.57
5771,-0.23
5777,-0.83
5783,-0.85
5789,0.01
5795,1.1
5801,2.03
5807,2.5
5813,3.2
5819,4.37
5825,6.04
5831,6.54
5837,7.06
5843,6.32
5849,5.13
5855,4.06
5861,3.23
5867,2.27
5873,2.13
5879,1.87
5885,1.91
5891,1.16
5897,0.7
5903,0.67
5909,0.39
5915,0.01
5921,-0.57
5927,-0.42
5933,-0.77
5939,-0.64
5945,-0.47
5951,-0.17
5957,0.03
5963,0.25
5969,0.61
5975,1.38
5981,0.93
5987,1.55
5993,1.45
5999,2.07
6005,0.86
6011,0.0
6017,0.16
6023,0.17
6029,0.16
6035,-0.04
6041,-0.09
6047,-0.27
6053,-0.3
6059,-1.11
6065,-1.17
6071,-1.44
6077,-2.2
6083,-2.61
6089,-2.97
6095,-3.04
6101,-2.78
6107,-1.43
6113,-0.74
6119,-0.1
6125,-0.52
6131,0.75
6137,1.44
6143,-0.14
6149,-1.06
6155,-2.01
6161,-2.26
6167,-2.12
6173,-2.24
6179,-2.38
6185,-2.08
6191,-2.13
6197,-2.3
6203,-3.06
6209,-3.41
6215,-3.38
6221,-3.41
6227,-3.66
6233,-4.16
6239,-4.72
6245,-3.02
6251,-0.34
6257,-0.43
6263,0.69
6269,0.85
6275,1.18
6281,0.66
6287,0.76
6293,-0.1
6299,-0.34
6305,-0.63
6311,-0.54
6317,-0.57
6323,-0.57
6329,-0.57
6335,-0.69
6341,-0.85
6347,-0.97
6353,-1.15
6359,-1.27
6365,-2.24
6371,-3.76
6377,-5.16
6383,-5.7
6389,-5.48
6395,-4.72
6401,-4.63
6407,-4.77
6413,-3.94
6419,-3.47
6425,-2.85
6431,-2.57
6437,-3.09
6443,-4.28
6449,-4.62
6455,-4.4
6461,-4.69
6467,-4.71
6473,-4.86
6479,-5.27
6485,-6.23
6491,-6.72
6497,-7.2
6503,-7.71
6509,-8.44
6515,-8.43
6521,-7.34
6527,-7.3
6533,-4.54
6539,-5.09
6545,-3.62
6551,-1.94
6557,-1.42
6563,-1.25
6569,-0.94
6575,-1.2
6581,-1.77
6587,-2.28
6593,-2.71
6599,-3.24
6605,-3.29
6611,-3.11
6617,-3.08
6623,-2.94
6629,-2.5
6635,-2.24
6641,-2.01
6647,-2.09
6653,-1.97
6659,-1.88
6665,-1.16
6671,-0.29
6677,0.18
6683,0.71
6689,1.23
6695,1.77
6701,1.94
6707,2.3
6713,2.26
6719,1.83
6725,1.83
6731,1.66
6737,1.6
6743,1.36
6749,0.88
6755,0.5
6761,0.3
6767,-0.23
6773,-0.69
6779,-0.67
6785,-0.07
6791,0.16
6797,0.1
6803,-0.45
6809,-1.01
6815,-1.74
6821,-2.43
6827,-3.11
6833,-3.0
6839,-3.11
6845,-3.12
6851,-1.82
6857,-1.95
6863,-2.45
6869,-2.82
6875,-3.63
6881,-3.75
6887,-4.56
6893,-4.89
6899,-5.1
6905,-5.29
6911,-4.97
6917,-4.75
6923,-4.82
6929,-4.66
6935,-4.98
6941,-4.88
6947,-4.91
6953,-4.93
6959,-5.24
6965,-5.19
6971,-2.81
6977,-2.99
6983,-2.95
6989,-1.98
6995,-2.34
7001,-0.47
7007,-1.21
7013,-3.36
7019,-3.75
7025,-4.06
7031,-4.54
7037,-4.93
7043,-6.19
7049,-7.12
7055,-7.9
7061,-8.97
7067,-9.79
7073,-10.6
7079,-11.12
7085,-10.73
7091,-10.44
7097,-10.25
7103,-9.77
7109,-8.13
7115,-5.58
7121,-3.3
7127,-0.35
7133,0.66
7139,1.5
7145,0.45
7151,0.3
7157,0.22
7163,-1.36
7169,-1.49
7175,-1.57
7181,-1.3
7187,-1.28
7193,-1.93
7199,-2.44
7205,-2.35
7211,-2.67
7217,-2.77
7223,-2.52
7229,-1.99
7235,-1.39
7241,-0.54
7247,0.19
7253,0.04
7259,0.84
7265,2.32
7271,2.23
7277,1.86
7283,1.52
7289,1.63
7295,1.36
7301,1.06
7307,1.03
7313,1.34
7319,1.5
7325,1.46
7331,1.49
7337,1.38
7343,1.53
7349,1.55
7355,1.37
7361,1.24
7367,1.1
7373,0.25
7379,0.43
7385,0.3
7391,0.2
7397,0.15
7403,0.48
7409,1.08
7415,1.12
7421,1.43
7427,1.8
7433,1.72
7439,1.95
7445,1.92
7451,1.54
7457,1.27
7463,0.99
7469,1.16
7475,1.03
7481,0.65
7487,-0.17
7493,-0.25
7499,-0.54
7505,-0.72
7511,-0.78
7517,-0.42
7523,-0.13
7529,0.07
7535,0.26
7541,0.91
7547,1.53
7553,2.13
7559,3.2
7565,4.03
7571,3.76
7577,3.46
7583,4.06
7589,3.95
7595,3.88
7601,3.57
7607,3.63
7613,3.43
7619,3.57
7625,2.61
7631,2.81
7637,2.4
7643,2.34
7649,2.16
7655,2.03
7661,2.19
7667,2.23
7673,1.69
7679,2.01
7685,2.46
7691,2.93
7697,3.15
7703,2.8
7709,3.18
7715,3.4
7721,3.68
7727,3.89
7733,3.56
7739,2.85
7745,2.45
7751,1.99
7757,1.88
7763,1.87
7769,-0.3
7775,-0.3
7781,-0.34
7787,-0.34
7793,-0.4
7799,-0.44
7805,-0.37
7811,-0.75
7817,-0.98
7823,-1.0
7829,-0.9
7835,-0.71
7841,-0.64
7847,-0.5
7853,-0.44
7859,-0.35
7865,0.03
7871,0.3
7877,0.29
7883,0.19
7889,0.1
7895,0.05
7901,-0.01
7907,-0.07
7913,-0.69
7919,-1.04
7925,-1.05
7931,-1.32
7937,-1.77
7943,-2.23
7949,-2.84
7955,-3.04
7961,-2.37
7967,-2.35
7973,-1.04
7979,1.0
7985,2.92
7991,3.47
7997,4.57
8003,5.22
8009,5.19
8015,4.92
8021,4.62
8027,3.96
8033,3.44
8039,3.27
8045,3.23
8051,3.01
8057,3.37
8063,3.49
8069,3.51
8075,3.42
8081,3.28
8087,2.9
8093,2.39
8099,1.93
8105,2.05
8111,1.85
8117,2.44
8123,2.79
8129,3.44
8135,4.56
8141,5.59
8147,5.7
8153,5.67
8159,5.6
8165,5.37
8171,4.89
8177,4.84
8183,4.9
8189,4.7
8195,4.57
8201,4.5
8207,4.23
8213,3.91
8219,3.71
8225,3.69
8231,3.5
8237,3.5
8243,3.3
8249,3.33
8255,3.62
8261,4.78
8267,5.97
8273,4.76
8279,5.19
8285,5.53
8291,6.03
8297,5.97
8303,5.82
8309,5.95
8315,5.97
8321,5.78
8327,5.4
8333,4.95
8339,5.4
8345,5.63
8351,5.99
8357,6.04
8363,5.78
8369,5.83
8375,6.05
8381,5.74
8387,5.56
8393,5.71
8399,5.76
8405,6.45
8411,6.38
8417,6.95
8423,7.61
8429,7.99
8435,7.89
8441,8.1
8447,7.69
8453,7.37
8459,7.32
8465,6.83
8471,6.64
8477,6.29
8483,6.14
8489,5.83
8495,5.47
8501,5.16
8507,4.63
8513,4.27
8519,4.12
8525,4.03
8531,3.7
8537,3.63
8543,4.01
8549,3.92
8555,3.81
8561,3.94
8567,5.87
8573,7.86
8579,10.49
8585,12.13
8591,11.17
8597,8.79
8603,6.69
8609,4.89
8615,3.61
8621,3.12
8627,2.87
8633,2.92
8639,3.52
8645,3.9
8651,4.41
8657,4.6
8663,4.67
8669,4.77
8675,4.7
8681,4.51
8687,4.55
8693,4.57
8699,5.44
8705,6.24
8711,6.46
8717,7.27
8723,7.82
8729,7.77
8735,7.25
8741,6.44
8747,6.03
8753,5.79
8759,5.34
8765,4.98
8771,4.81
8777,4.83
8783,4.1
8789,3.92
8795,3.43
8801,3.23
8807,3.27
8813,3.22
8819,2.31
8825,1.44
8831,1.5
8837,2.17
8843,3.43
8849,5.36
8855,6.89
8861,6.97
8867,7.23
8873,7.86
8879,7.2
8885,6.54
8891,5.36
8897,4.51
8903,2.65
8909,2.13
8915,1.2
8921,-0.06
8927,-0.34
8933,0.14
8939,-0.56
8945,0.78
8951,0.8
8957,1.23
8963,1.74
8969,2.52
8975,2.78
8981,5.31
8987,5.19
8993,6.7
8999,8.58
9005,9.4
9011,9.29
9017,9.78
9023,9.09
9029,8.48
9035,6.84
9041,5.58
9047,5.0
9053,4.33
9059,3.7
9065,2.36
9071,1.24
9077,0.81
9083,0.2
9089,-0.77
9095,-0.99
9101,-1.25
9107,-1.81
9113,-1.61
9119,-1.54
9125,-1.32
9131,0.02
9137,0.8
9143,2.18
9149,3.14
9155,3.88
9161,4.81
9167,5.1
9173,4.91
9179,5.11
9185,5.17
9191,5.77
9197,6.21
9203,5.87
9209,5.37
9215,5.14
9221,5.28
9227,5.37
9233,5.3
9239,5.27
9245,5.21
9251,5.09
9257,4.4
9263,3.92
9269,3.5
9275,3.38
9281,3.34
9287,3.29
9293,3.37
9299,3.66
9305,3.89
9311,3.9
9317,3.55
9323,3.3
9329,3.31
9335,3.24
9341,3.1
9347,2.83
9353,2.97
9359,2.81
9365,2.35
9371,2.21
9377,1.97
9383,1.72
9389,1.28
9395,1.16
9401,1.16
9407,1.3
9413,1.16
9419,1.79
9425,2.35
9431,2.63
9437,3.28
9443,2.9
9449,2.43
9455,1.83
9461,2.08
9467,2.37
9473,2.3
9479,1.63
9485,1.3
9491,-0.27
9497,-1.0
9503,-1.82
9509,-2.19
9515,-2.38
9521,-2.36
9527,-2.1
9533,-1.81
9539,-0.93
9545,0.11
9551,2.02
9557,2.27
9563,3.66
9569,5.13
9575,5.79
9581,6.33
9587,5.52
9593,5.53
9599,5.9
9605,5.42
9611,5.17
9617,5.3
9623,5.43
9629,5.11
9635,4.97
9641,4.77
9647,4.2
9653,4.63
9659,4.06
9665,3.32
9671,2.76
9677,2.17
9683,2.16
9689,1.85
9695,2.3
9701,3.55
9707,4.1
9713,4.94
9719,4.35
9725,5.35
9731,5.05
9737,6.13
9743,5.36
9749,4.7
9755,4.11
9761,3.44
9767,3.76
9773,3.73
9779,3.83
9785,3.36
9791,3.17
9797,3.1
9803,3.1
9809,2.77
9815,2.3
9821,2.54
9827,2.58
9833,2.54
9839,2.69
9845,3.46
9851,4.22
9857,4.89
9863,5.09
9869,4.53
9875,5.16
9881,5.54
9887,5.24
9893,4.92
9899,4.03
9905,3.49
9911,3.21
9917,3.25
9923,2.95
9929,2.45
9935,2.12
9941,1.9
9947,1.53
9953,0.6
9959,1.01
9965,1.11
9971,0.35
9977,0.11
9983,0.75
9989,2.99
9995,2.69
10001,4.62
10007,4.78
10013,5.02
10019,5.82
10025,5.37
10031,3.94
10037,4.93
10043,3.44
10049,3.47
10055,3.42
10061,3.53
10067,3.73
10073,3.19
10079,3.12
10085,3.12
10091,3.14
10097,2.24
10103,2.43
10109,1.89
10115,1.1
10121,1.27
10127,1.61
10133,1.65
10139,2.62
10145,4.06
10151,4.65
10157,3.53
10163,2.74
10169,2.5
10175,2.58
10181,2.36
10187,2.63
10193,2.76
10199,3.26
10205,4.2
10211,5.11
10217,5.64
10223,5.86
10229,5.5
10235,5.42
10241,5.04
10247,4.55
10253,4.57
10259,4.19
10265,4.47
10271,5.17
10277,6.04
10283,7.5
10289,8.31
10295,9.03
10301,9.59
10307,10.11
10313,9.87
10319,9.68
10325,9.19
10331,7.98
10337,7.15
10343,6.82
10349,5.64
10355,4.04
10361,2.83
10367,2.79
10373,1.52
10379,0.92
10385,0.57
10391,0.03
10397,-0.18
10403,-0.37
10409,-0.37
10415,0.39
10421,2.01
10427,4.1
10433,7.55
10439,9.51
10445,10.01
10451,10.09
10457,10.36
10463,9.88
10469,9.66
10475,9.3
10481,8.51
10487,7.37
10493,7.25
10499,6.96
10505,6.93
10511,6.81
10517,7.53
10523,7.28
10529,6.7
10535,6.13
10541,5.75
10547,5.86
10553,5.45
10559,5.78
10565,6.13
10571,5.26
10577,5.87
10583,6.19
10589,6.48
10595,6.58
10601,6.18
10607,6.56
10613,6.45
10619,6.37
10625,6.24
10631,6.13
10637,5.7
10643,5.68
10649,5.69
10655,5.68
10661,5.64
10667,5.5
10673,5.33
10679,4.92
10685,4.97
10691,4.91
10697,4.92
10703,5.14
10709,5.78
10715,6.44
10721,6.94
10727,7.91
10733,7.88
10739,7.49
10745,7.38
10751,7.06
10757,6.83
10763,6.56
10769,6.44
10775,6.36
10781,6.16
10787,5.96
10793,5.8
10799,5.51
10805,5.61
10811,5.43
10817,4.82
10823,4.39
10829,4.42
10835,4.43
10841,4.64
10847,5.46
10853,6.02
10859,6.82
10865,7.97
10871,7.56
10877,7.74
10883,8.13
10889,9.58
10895,9.9
10901,9.72
10907,8.66
10913,7.32
10919,6.23
10925,5.63
10931,4.48
10937,3.33
10943,2.65
10949,2.17
10955,1.3
10961,0.61
10967,0.05
10973,-0.22
10979,-0.35
10985,0.1
10991,1.87
10997,2.64
11003,3.24
11009,5.03
11015,5.7
11021,7.44
11027,8.61
11033,9.23
11039,8.31
11045,7.12
11051,6.13
11057,5.35
11063,4.7
11069,4.12
11075,3.9
11081,3.95
11087,3.62
11093,3.37
11099,3.12
11105,3.09
11111,2.83
11117,2.63
11123,2.5
11129,2.46
11135,3.74
11141,3.21
11147,2.56
11153,2.99
11159,3.33
11165,4.14
11171,0.33
11177,1.59
11183,2.77
11189,2.89
11195,3.51
11201,3.43
11207,2.3
11213,1.93
11219,1.27
11225,0.57
11231,-0.36
11237,-0.64
11243,-0.65
11249,-0.58
11255,-0.69
11261,-0.65
11267,-0.83
11273,-1.22
11279,-0.94
11285,-0.79
11291,-0.04
11297,0.18
11303,0.89
11309,0.92
11315,1.19
11321,1.58
11327,2.18
11333,1.57
